|      | Madvare                                                                 | Kategori                                   | Enhed                                                 | Konverteringsfaktor   |
|-----:|:------------------------------------------------------------------------|:-------------------------------------------|:------------------------------------------------------|:----------------------|
|    0 | Bolle, almindelig/fuldkorn - bager/industribolle                        | Brød                                       | lille                                                 | 40                    |
|    1 | Bolle, almindelig/fuldkorn - hjemmebagt                                 | Brød                                       | lille                                                 | 50                    |
|    2 | Croissant                                                               | Brød                                       | lille                                                 | 25                    |
|    3 | Crouton, naturel                                                        | Brød                                       | lille                                                 | 0.4                   |
|    4 | Hvedebrød, skive - industribrød/ let bagerbrød                          | Brød                                       | lille                                                 | 25                    |
|    5 | Hvedebrød, skive – hjemmebagt                                           | Brød                                       | lille                                                 | 30                    |
|    6 | Frøsnapper                                                              | Brød                                       | lille                                                 | 35                    |
|    7 | Knækbrød, almindeligt/fuldkorn                                          | Brød                                       | lille                                                 | 5                     |
|    8 | Pitabrød, almindeligt                                                   | Brød                                       | lille                                                 | 60                    |
|    9 | Rugbrød, skive                                                          | Brød                                       | lille                                                 | 25                    |
|   10 | Sandwichbolle/stykke, almindelig/fuldkorn                               | Brød                                       | lille                                                 | 70                    |
|   11 | Bagel                                                                   | Brød                                       | mellem                                                | 90                    |
|   12 | Bolle, almindelig/fuldkorn - bager/industribolle                        | Brød                                       | mellem                                                | 60                    |
|   13 | Bolle, almindelig/fuldkorn - hjemmebagt                                 | Brød                                       | mellem                                                | 70                    |
|   14 | Bondebrød, skive                                                        | Brød                                       | mellem                                                | 50                    |
|   15 | Burger/hamburger bolle, almindelig/fuldkorn                             | Brød                                       | mellem                                                | 60                    |
|   16 | Chapati                                                                 | Brød                                       | mellem                                                | 50                    |
|   17 | Ciabattabolle, almindelig/fuldkorn                                      | Brød                                       | mellem                                                | 70                    |
|   18 | Croissant                                                               | Brød                                       | mellem                                                | 55                    |
|   19 | Flute/baguette - langt                                                  | Brød                                       | mellem                                                | 150                   |
|   20 | Flute/baguette - mini/kuvert                                            | Brød                                       | mellem                                                | 50                    |
|   21 | Focacciabolle                                                           | Brød                                       | mellem                                                | 120                   |
